Agent_Age,Agent_Rating,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,customer_answered_call,customer_response_time,customer_availability,visitor_pass_status,society_security_level,gate_wait_time,driver_status,previous_failed_deliveries,address_confidence,preferred_delivery_slot,estimated_arrival_delay,driver_experience,delivery_failure
37,4.9,2022-03-19,11:30:00,11:45:00,Sunny,High ,motorcycle ,Urban ,120,,,,,,,,,,,,,
34,4.5,2022-03-25,19:45:00,19:50:00,Stormy,Jam ,scooter ,Metropolitian ,165,,,,,,,,,,,,,
23,4.4,2022-03-19,08:30:00,08:45:00,Sandstorms,Low ,motorcycle ,Urban ,130,,,,,,,,,,,,,
38,4.7,2022-04-05,18:00:00,18:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,105,,,,,,,,,,,,,
32,4.6,2022-03-26,13:30:00,13:45:00,Cloudy,High ,scooter ,Metropolitian ,150,,,,,,,,,,,,,
22,4.8,2022-03-11,21:20:00,21:30:00,Cloudy,Jam ,motorcycle ,Urban ,130,,,,,,,,,,,,,
33,4.7,2022-03-04,19:15:00,19:30:00,Fog,Jam ,scooter ,Metropolitian ,200,,,,,,,,,,,,,
35,4.6,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,160,,,,,,,,,,,,,
22,4.8,2022-03-20,20:55:00,21:05:00,Stormy,Jam ,motorcycle ,Metropolitian ,170,,,,,,,,,,,,,
36,4.2,2022-02-12,21:55:00,22:10:00,Fog,Jam ,motorcycle ,Metropolitian ,230,,,,,,,,,,,,,
21,4.7,2022-02-13,14:55:00,15:05:00,Stormy,High ,motorcycle ,Metropolitian ,115,,,,,,,,,,,,,
23,4.7,2022-03-04,17:30:00,17:40:00,Sandstorms,Medium ,scooter ,Metropolitian ,105,,,,,,,,,,,,,
34,4.3,2022-02-13,09:20:00,09:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,,,,,,,,,,,,,
24,4.7,2022-02-14,19:50:00,20:05:00,Fog,Jam ,scooter ,Metropolitian ,205,,,,,,,,,,,,,
29,4.5,2022-04-02,20:25:00,20:35:00,Sandstorms,Jam ,van,Metropolitian ,100,,,,,,,,,,,,,
35,4.0,2022-03-01,14:55:00,15:10:00,Windy,High ,scooter ,Metropolitian ,33,,,,,,,,,,,,,
33,4.2,2022-03-16,20:30:00,20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,,,,,,,,,,,,,
34,4.9,2022-03-20,20:40:00,20:50:00,Cloudy,Jam ,motorcycle ,Metropolitian ,205,,,,,,,,,,,,,
21,4.7,2022-02-15,21:15:00,21:30:00,Windy,Jam ,motorcycle ,Urban ,75,,,,,,,,,,,,,
25,4.1,2022-03-16,20:20:00,20:25:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,,,,,,,,,,,,,
31,4.7,2022-03-10,22:30:00,22:45:00,Sandstorms,Low ,van,Metropolitian ,130,,,,,,,,,,,,,
37,5.0,2022-03-11,08:15:00,08:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,,,,,,,,,,,,,
33,4.3,2022-03-27,19:30:00,19:45:00,Windy,Jam ,scooter ,Metropolitian ,195,,,,,,,,,,,,,
25,4.0,2022-03-26,12:25:00,12:30:00,Cloudy,High ,motorcycle ,Metropolitian ,170,,,,,,,,,,,,,
29,4.5,2022-03-27,18:35:00,18:50:00,Sunny,Medium ,van,Metropolitian ,75,,,,,,,,,,,,,
27,5.0,2022-04-05,20:35:00,20:40:00,Stormy,Jam ,motorcycle ,Urban ,90,,,,,,,,,,,,,
35,4.3,2022-03-12,23:20:00,23:30:00,Cloudy,Low ,scooter ,Metropolitian ,190,,,,,,,,,,,,,
32,4.0,2022-03-16,21:20:00,21:35:00,Windy,Jam ,motorcycle ,Metropolitian ,235,,,,,,,,,,,,,
23,4.8,2022-04-02,23:35:00,23:45:00,Windy,Low ,van,Urban ,60,,,,,,,,,,,,,
31,4.8,2022-04-01,22:35:00,22:50:00,Sandstorms,Low ,motorcycle ,Metropolitian ,130,,,,,,,,,,,,,
36,4.1,2022-03-05,22:35:00,22:40:00,Stormy,Low ,motorcycle ,Urban ,110,,,,,,,,,,,,,
26,4.3,2022-02-11,23:25:00,23:35:00,Sandstorms,Low ,motorcycle ,Urban ,105,,,,,,,,,,,,,
38,4.9,2022-02-11,13:35:00,13:40:00,Cloudy,High ,scooter ,Urban ,125,,,,,,,,,,,,,
32,3.5,2022-03-08,21:35:00,21:45:00,Stormy,Jam ,scooter ,Urban ,35,,,,,,,,,,,,,
32,4.6,2022-04-02,22:35:00,22:45:00,Cloudy,Low ,scooter ,Metropolitian ,150,,,,,,,,,,,,,
33,4.9,2022-03-08,18:55:00,19:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,110,,,,,,,,,,,,,
20,4.7,2022-04-03,14:15:00,14:25:00,Windy,High ,scooter ,Urban ,50,,,,,,,,,,,,,
20,4.8,2022-03-30,11:00:00,11:10:00,Sandstorms,Low ,scooter ,Metropolitian ,95,,,,,,,,,,,,,
35,5.0,2022-04-01,09:45:00,09:55:00,Sunny,Low ,scooter ,Urban ,55,,,,,,,,,,,,,
26,4.9,2022-03-28,08:40:00,08:55:00,Stormy,Low ,scooter ,Metropolitian ,55,,,,,,,,,,,,,
22,4.8,2022-03-18,23:00:00,23:10:00,Fog,Low ,motorcycle ,Metropolitian ,140,,,,,,,,,,,,,
35,4.3,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,33,,,,,,,,,,,,,
37,4.7,2022-04-04,19:45:00,19:50:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,,,,,,,,,,,,,
28,4.6,2022-03-08,19:10:00,19:25:00,Stormy,Jam ,scooter ,Metropolitian ,110,,,,,,,,,,,,,
37,4.9,2022-02-13,10:55:00,11:00:00,Fog,Low ,scooter ,Urban ,16,,,,,,,,,,,,,
23,4.9,2022-03-24,21:40:00,21:45:00,Sunny,Jam ,van,Metropolitian ,55,,,,,,,,,,,,,
27,4.9,2022-03-19,19:00:00,19:15:00,Windy,Medium ,scooter ,Metropolitian ,125,,,,,,,,,,,,,
37,4.8,2022-03-09,16:45:00,16:55:00,Cloudy,Medium ,motorcycle ,Urban ,130,,,,,,,,,,,,,
33,5.0,2022-03-19,11:30:00,11:40:00,Sunny,High ,scooter ,Metropolitian ,90,,,,,,,,,,,,,
