Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,customer_answered_call,customer_response_time,customer_availability,visitor_pass_status,society_security_level,gate_wait_time,driver_status,previous_failed_deliveries,address_confidence,preferred_delivery_slot,estimated_arrival_delay,driver_experience,pickup_delay_minutes,hour_of_day,day_of_week,is_weekend,arrival_within_preferred_slot,customer_reachability_score,society_accessibility_score,driver_reliability_score
22,4.7,2,1,1,0,125,0,568,0,0,0,1,1,4,87,1,9,9,15.0,20,1,False,1,10.0,68,98
21,4.8,1,2,0,0,120,1,82,1,1,1,13,1,0,76,0,0,11,10.0,23,1,False,0,86.33333333333333,74,100
39,5.0,2,1,1,0,140,1,105,1,0,1,4,1,1,72,0,3,14,5.0,19,0,False,0,82.5,92,100
30,4.9,0,2,0,0,145,1,69,0,0,1,1,1,1,90,2,7,10,5.0,23,3,True,0,88.5,98,100
29,4.9,4,0,0,0,19,1,52,2,2,2,16,1,0,80,2,10,8,15.0,12,5,False,0,91.33333333333333,8,100
24,4.6,4,3,1,0,60,1,88,2,0,2,1,1,0,66,1,14,13,15.0,18,5,False,1,85.33333333333333,38,100
36,4.8,0,0,1,0,140,1,89,1,1,2,8,1,1,91,2,12,2,15.0,12,3,True,0,85.16666666666667,24,99
21,4.6,2,3,0,0,140,0,264,0,1,0,18,1,0,93,0,11,11,15.0,17,0,False,0,10.0,34,100
29,5.0,0,1,0,0,165,1,107,2,0,2,1,2,1,74,2,9,5,10.0,19,3,True,0,82.16666666666667,38,65
36,5.0,1,1,0,0,160,1,63,2,1,0,19,1,0,84,1,11,6,5.0,20,1,False,1,89.5,32,100
20,4.8,4,2,1,0,85,1,21,2,0,0,2,1,0,89,0,0,10,15.0,22,1,False,0,96.5,66,100
26,4.7,4,1,0,0,105,1,14,1,0,2,4,1,1,74,2,12,3,15.0,19,3,True,0,97.66666666666667,32,100
25,4.9,3,2,0,0,90,1,39,0,0,2,1,1,3,81,0,11,3,15.0,23,2,True,0,93.5,38,91
36,4.3,1,3,0,0,155,1,14,1,0,2,4,1,0,71,0,3,3,15.0,17,2,True,0,97.66666666666667,32,100
36,4.8,2,2,1,0,120,1,105,1,0,0,3,1,1,91,1,7,9,5.0,8,0,False,0,82.5,64,100
36,4.3,3,3,1,3,160,1,91,0,0,2,4,1,0,79,0,11,3,15.0,19,3,True,0,84.83333333333333,32,100
22,4.7,4,3,0,3,70,1,29,1,0,2,2,1,2,82,2,1,14,5.0,15,6,False,0,95.16666666666667,36,100
37,4.8,0,3,0,0,215,1,46,3,0,0,1,1,4,69,0,13,7,15.0,18,1,False,0,92.33333333333333,68,94
38,4.3,5,3,1,0,190,1,105,3,0,0,1,1,1,82,0,3,7,5.0,17,4,False,0,82.5,68,100
