Feature,Importance
risk_score,0.7090354
customer_unavailability_history,0.076593235
driver_on_time_rate,0.06586096
Weather,0.041429326
distance_km,0.04004861
hour_of_day,0.026109362
Drop_Latitude,0.013613205
Traffic,0.01084565
address_failure_history_rate,0.008120848
Delivery_Time,0.0020924166
Drop_Longitude,0.001292814
Store_Latitude,0.0012606034
Agent_Rating,0.0007487011
Store_Longitude,0.0006374862
Category,0.0005898042
pin_code,0.00045254594
Vehicle,0.00040138775
order_value,0.00038613597
day_of_week,0.00023610877
Agent_Age,0.0001527113
slot_width_minutes,9.2671355e-05
Area,0.0
month,0.0
is_weekend,0.0
pickup_delay_minutes,0.0
